State,County,County_State,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Latitude,Longitude,countyFIPS,g
VA,Chesterfield County,"Chesterfield County, VA",1097006029,34782834,423.556,13.43,37.378434,-77.585847,45025,45025
VA,Clarke County,"Clarke County, VA",455664148,5690610,175.933,2.197,39.115307,-77.990748,1025,1025
VA,Craig County,"Craig County, VA",849770459,2793174,328.098,1.078,37.473603,-80.231051,40035,40035
VA,Culpeper County,"Culpeper County, VA",982089164,9005140,379.187,3.477,38.48593,-77.956476,51047,51047
VA,Cumberland County,"Cumberland County, VA",770525893,5917833,297.502,2.285,37.520189,-78.252836,17035,17035
VA,Dickenson County,"Dickenson County, VA",855863022,8079113,330.451,3.119,37.136701,-82.34922,51051,51051
VA,Dinwiddie County,"Dinwiddie County, VA",1305053884,8992266,503.884,3.472,37.073498,-77.635492,51053,51053
VA,Essex County,"Essex County, VA",665855329,74795284,257.088,28.879,37.93948,-76.941871,25009,25009
VA,Fairfax County,"Fairfax County, VA",1012703532,40107717,391.007,15.486,38.82952,-77.273252,51059,51059
VA,Fauquier County,"Fauquier County, VA",1678327963,9633564,648.006,3.72,38.744096,-77.8215,51061,51061
VA,Floyd County,"Floyd County, VA",986585626,2190752,380.923,0.846,36.931433,-80.350266,13115,13115
VA,Fluvanna County,"Fluvanna County, VA",743630413,10747024,287.117,4.149,37.830584,-78.283494,51065,51065
VA,Franklin County,"Franklin County, VA",1788703111,54373109,690.622,20.994,36.991186,-79.882715,1059,1059
VA,Frederick County,"Frederick County, VA",1070102010,5935110,413.169,2.292,39.20366,-78.263829,24021,24021
VA,Giles County,"Giles County, VA",925205239,11234368,357.224,4.338,37.318072,-80.698321,47055,47055
VA,Gloucester County,"Gloucester County, VA",564124717,181747503,217.81,70.173,37.403541,-76.523505,34015,34015
VA,Goochland County,"Goochland County, VA",726830013,21963167,280.631,8.48,37.718814,-77.917626,51075,51075
VA,Grayson County,"Grayson County, VA",1144218808,9792929,441.785,3.781,36.652229,-81.215324,21085,21085
VA,Greene County,"Greene County, VA",403865093,1680243,155.933,0.649,38.297981,-78.470163,1063,1063
VA,Greensville County,"Greensville County, VA",764634553,4086108,295.227,1.578,36.680336,-77.560277,51081,51081
VA,Halifax County,"Halifax County, VA",2117913131,30524580,817.731,11.786,36.766461,-78.939614,37083,37083
VA,Hanover County,"Hanover County, VA",1211818311,12652671,467.886,4.885,37.760215,-77.491317,51085,51085
VA,Henrico County,"Henrico County, VA",605218124,28895008,233.676,11.156,37.631269,-77.651922,51087,51087
VA,Henry County,"Henry County, VA",990284619,5269785,382.351,2.035,36.781479,-79.759231,1067,1067
VA,Highland County,"Highland County, VA",1075266902,1791758,415.163,0.692,38.366243,-79.564472,39071,39071
